Kiosk,Client Nationality,Month,active_contracts,new_contracts,terminations,prev_active,churn_rate,retention_rate,net_change,kiosk_total,share_of_kiosk
Festival Plaza,Spanish,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,353,0.0028328611898017
Festival Plaza,Sri Lankan,2025-11-01,5,1,0,4.0,0.0,1.0,1.0,353,0.014164305949008499
Festival Plaza,Sudanese,2025-11-01,2,1,0,1.0,0.0,1.0,1.0,353,0.0056657223796034
Festival Plaza,Swiss,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,353,0.0028328611898017
Festival Plaza,Syrian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,353,0.0056657223796034
Festival Plaza,Trinidadian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,353,0.0028328611898017
Festival Plaza,Tunisian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,353,0.0028328611898017
Festival Plaza,Turkish,2025-11-01,9,1,2,8.0,0.25,0.75,1.0,353,0.025495750708215296
Festival Plaza,Ukrainian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,353,0.0028328611898017
Festival Plaza,Unknown,2025-11-01,38,4,6,36.0,0.16666666666666666,0.8333333333333334,2.0,353,0.10764872521246459
First Avenue,American,2025-11-01,4,0,0,4.0,0.0,1.0,0.0,124,0.03225806451612903
First Avenue,Argentinean,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,124,0.016129032258064516
First Avenue,Australian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,124,0.016129032258064516
First Avenue,Austrian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,124,0.008064516129032258
First Avenue,British,2025-11-01,15,0,0,16.0,0.0,1.0,-1.0,124,0.12096774193548387
First Avenue,Bulgarian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,124,0.008064516129032258
First Avenue,Canadian,2025-11-01,5,0,0,5.0,0.0,1.0,0.0,124,0.04032258064516129
First Avenue,Chinese,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,124,0.008064516129032258
First Avenue,Dominican,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,124,0.008064516129032258
First Avenue,Dutch,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,124,0.008064516129032258
First Avenue,Egyptian,2025-11-01,10,0,1,10.0,0.1,0.9,0.0,124,0.08064516129032258
First Avenue,Ethiopian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,124,0.008064516129032258
First Avenue,Filipina,2025-11-01,4,0,0,4.0,0.0,1.0,0.0,124,0.03225806451612903
First Avenue,French,2025-11-01,1,0,0,2.0,0.0,1.0,-1.0,124,0.008064516129032258
First Avenue,German,2025-11-01,1,0,0,2.0,0.0,1.0,-1.0,124,0.008064516129032258
First Avenue,Indian,2025-11-01,15,0,0,15.0,0.0,1.0,0.0,124,0.12096774193548387
First Avenue,Irish,2025-11-01,4,0,0,4.0,0.0,1.0,0.0,124,0.03225806451612903
First Avenue,Italian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,124,0.008064516129032258
First Avenue,Jordanian,2025-11-01,4,0,1,4.0,0.25,0.75,0.0,124,0.03225806451612903
First Avenue,Kenyan,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,124,0.008064516129032258
First Avenue,Lebanese,2025-11-01,6,0,0,6.0,0.0,1.0,0.0,124,0.04838709677419355
First Avenue,Moroccan,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,124,0.008064516129032258
First Avenue,New Zealander,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,124,0.008064516129032258
First Avenue,Pakistani,2025-11-01,6,0,0,6.0,0.0,1.0,0.0,124,0.04838709677419355
First Avenue,Polish,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,124,0.008064516129032258
First Avenue,Portuguese,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,124,0.008064516129032258
First Avenue,Romanian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,124,0.008064516129032258
First Avenue,Serbian,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,124,0.024193548387096774
First Avenue,South African,2025-11-01,5,0,0,5.0,0.0,1.0,0.0,124,0.04032258064516129
First Avenue,Spanish,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,124,0.008064516129032258
First Avenue,Syrian,2025-11-01,6,0,0,6.0,0.0,1.0,0.0,124,0.04838709677419355
First Avenue,Tunisian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,124,0.008064516129032258
First Avenue,Turkish,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,124,0.016129032258064516
First Avenue,Ukrainian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,124,0.016129032258064516
First Avenue,Unknown,2025-11-01,11,1,2,11.0,0.18181818181818182,0.8181818181818181,0.0,124,0.08870967741935484
First Avenue,Zimbabwean,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,124,0.008064516129032258
Golden Miles,Australian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,88,0.022727272727272728
Golden Miles,Austrian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,88,0.011363636363636364
Golden Miles,Bangladeshi,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,88,0.011363636363636364
Golden Miles,British,2025-11-01,16,1,1,16.0,0.0625,0.9375,0.0,88,0.18181818181818182
Golden Miles,Canadian,2025-11-01,4,0,0,4.0,0.0,1.0,0.0,88,0.045454545454545456
Golden Miles,Cypriot,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,88,0.011363636363636364
Golden Miles,Egyptian,2025-11-01,5,0,0,6.0,0.0,1.0,-1.0,88,0.056818181818181816
Golden Miles,Ethiopian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,88,0.011363636363636364
Golden Miles,Filipina,2025-11-01,3,0,0,4.0,0.0,1.0,-1.0,88,0.03409090909090909
Golden Miles,French,2025-11-01,1,0,0,2.0,0.0,1.0,-1.0,88,0.011363636363636364
Golden Miles,German,2025-11-01,3,0,0,4.0,0.0,1.0,-1.0,88,0.03409090909090909
Golden Miles,Indian,2025-11-01,6,0,0,6.0,0.0,1.0,0.0,88,0.06818181818181818
Golden Miles,Irish,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,88,0.011363636363636364
Golden Miles,Israeli,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,88,0.011363636363636364
Golden Miles,Italian,2025-11-01,4,0,0,4.0,0.0,1.0,0.0,88,0.045454545454545456
Golden Miles,Lebanese,2025-11-01,2,1,0,1.0,0.0,1.0,1.0,88,0.022727272727272728
Golden Miles,New Zealander,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,88,0.011363636363636364
Golden Miles,Nigerian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,88,0.011363636363636364
Golden Miles,Pakistani,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,88,0.011363636363636364
Golden Miles,Portuguese,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,88,0.011363636363636364
Golden Miles,Russian,2025-11-01,2,0,0,3.0,0.0,1.0,-1.0,88,0.022727272727272728
Golden Miles,Saint Kitts And Nevis,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,88,0.011363636363636364
Golden Miles,Spanish,2025-11-01,1,1,0,0.0,,,1.0,88,0.011363636363636364
Golden Miles,Swedish,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,88,0.03409090909090909
