Kiosk,Client Nationality,avg_churn_rate,avg_retention_rate,mean_active,net_change_total,latest_active
Festival Plaza,French,0.0,1.0,5.333333333333333,1.0,6
Festival Plaza,German,0.06666666666666667,0.9333333333333332,4.666666666666667,0.0,4
Festival Plaza,Ghanaian,0.0,1.0,2.0,0.0,2
Festival Plaza,Greek,0.0,1.0,1.0,0.0,1
Festival Plaza,Hungarian,0.0,1.0,2.0,1.0,2
Festival Plaza,Indian,0.0270582338579239,0.9729417661420761,88.33333333333333,5.0,89
Festival Plaza,Indonesian,0.0,1.0,1.0,0.0,1
Festival Plaza,Iranian,0.0,1.0,2.0,0.0,2
Festival Plaza,Irish,0.0,1.0,1.0,0.0,1
Festival Plaza,Italian,0.0,1.0,2.0,0.0,2
Festival Plaza,Jordanian,0.09523809523809523,0.9047619047619048,5.666666666666667,-2.0,5
Festival Plaza,Kazakhstani,0.0,1.0,1.0,0.0,1
Festival Plaza,Kenyan,0.0,1.0,2.0,0.0,2
Festival Plaza,Kyrgyz,0.0,1.0,1.0,0.0,1
Festival Plaza,Lebanese,0.041666666666666664,0.9583333333333334,8.333333333333334,0.0,8
Festival Plaza,Malaysian,0.0,1.0,1.0,0.0,1
Festival Plaza,Mexican,0.0,1.0,2.0,0.0,2
Festival Plaza,Moroccan,0.0,1.0,3.0,0.0,3
Festival Plaza,Ni-Vanuatu,0.0,1.0,1.0,0.0,1
Festival Plaza,Pakistani,0.0,1.0,5.0,0.0,5
Festival Plaza,Palestinian,0.0,1.0,1.0,0.0,1
Festival Plaza,Polish,0.16666666666666666,0.8333333333333334,1.6666666666666667,-1.0,1
Festival Plaza,Portuguese,0.0,1.0,2.0,0.0,2
Festival Plaza,Russian,0.08333333333333333,0.9166666666666666,4.0,0.0,4
Festival Plaza,Singaporean,0.0,1.0,2.0,1.0,2
Festival Plaza,South African,0.0,1.0,6.333333333333333,1.0,7
Festival Plaza,South Korean,0.0,1.0,1.0,0.0,1
Festival Plaza,Spanish,0.0,1.0,1.0,0.0,1
Festival Plaza,Sri Lankan,0.0,1.0,4.0,2.0,5
Festival Plaza,Sudanese,0.0,1.0,1.3333333333333333,1.0,2
Festival Plaza,Swiss,0.0,1.0,1.0,0.0,1
Festival Plaza,Syrian,0.0,1.0,2.0,0.0,2
Festival Plaza,Trinidadian,0.0,1.0,1.0,0.0,1
Festival Plaza,Tunisian,0.0,1.0,1.0,1.0,1
Festival Plaza,Turkish,0.08333333333333333,0.9166666666666666,8.0,1.0,9
Festival Plaza,Ukrainian,0.0,1.0,1.0,0.0,1
Festival Plaza,Unknown,0.08781362007168458,0.9121863799283155,35.0,7.0,38
First Avenue,American,0.0,1.0,4.0,0.0,4
First Avenue,Argentinean,0.0,1.0,2.0,0.0,2
First Avenue,Australian,0.0,1.0,2.0,0.0,2
First Avenue,Austrian,0.0,1.0,1.0,0.0,1
First Avenue,Brazilian,1.0,0.0,1.0,1.0,1
First Avenue,British,0.022222222222222223,0.9777777777777779,15.333333333333334,0.0,15
First Avenue,Bulgarian,0.0,1.0,1.0,0.0,1
First Avenue,Canadian,0.0,1.0,5.0,0.0,5
First Avenue,Chinese,0.0,1.0,1.0,0.0,1
First Avenue,Dominican,0.0,1.0,1.0,0.0,1
First Avenue,Dutch,0.0,1.0,1.0,0.0,1
First Avenue,Egyptian,0.03333333333333333,0.9666666666666667,10.0,0.0,10
First Avenue,Ethiopian,0.0,1.0,1.0,0.0,1
First Avenue,Filipina,0.0,1.0,4.0,0.0,4
First Avenue,French,0.3333333333333333,0.6666666666666666,1.3333333333333333,-1.0,1
First Avenue,German,0.16666666666666666,0.8333333333333334,1.6666666666666667,-1.0,1
First Avenue,Greek,,,1.0,1.0,1
First Avenue,Indian,0.0,1.0,14.666666666666666,1.0,15
First Avenue,Iraqi,0.5,0.5,1.0,0.0,1
First Avenue,Irish,0.0,1.0,4.0,0.0,4
First Avenue,Italian,0.0,1.0,1.0,0.0,1
First Avenue,Jordanian,0.08333333333333333,0.9166666666666666,4.0,1.0,4
First Avenue,Kenyan,0.0,1.0,1.0,0.0,1
First Avenue,Lebanese,0.0,1.0,6.0,0.0,6
First Avenue,Moroccan,0.0,1.0,1.0,0.0,1
First Avenue,New Zealander,0.0,1.0,1.0,0.0,1
First Avenue,Pakistani,0.0,1.0,6.0,1.0,6
First Avenue,Polish,0.0,1.0,1.0,0.0,1
First Avenue,Portuguese,0.0,1.0,1.0,1.0,1
First Avenue,Romanian,0.0,1.0,1.0,0.0,1
First Avenue,Serbian,0.0,1.0,3.0,1.0,3
First Avenue,South African,0.0,1.0,5.0,0.0,5
First Avenue,Spanish,0.0,1.0,1.0,0.0,1
First Avenue,Syrian,0.0,1.0,6.0,0.0,6
First Avenue,Tunisian,0.0,1.0,1.0,0.0,1
First Avenue,Turkish,0.0,1.0,2.0,0.0,2
First Avenue,Ukrainian,0.0,1.0,2.0,0.0,2
First Avenue,Unknown,0.09764309764309764,0.9023569023569022,10.333333333333334,2.0,11
First Avenue,Zimbabwean,0.0,1.0,1.0,0.0,1
Golden Miles,Australian,0.0,1.0,2.0,0.0,2
Golden Miles,Austrian,0.0,1.0,1.0,0.0,1
Golden Miles,Bangladeshi,0.0,1.0,1.0,0.0,1
Golden Miles,British,0.04305555555555555,0.9569444444444445,15.666666666666666,1.0,16
Golden Miles,Canadian,0.0,1.0,4.0,0.0,4
Golden Miles,Cypriot,0.0,1.0,1.0,0.0,1
Golden Miles,Dominican,1.0,0.0,1.0,1.0,1
Golden Miles,Egyptian,0.05555555555555555,0.9444444444444445,5.666666666666667,-2.0,5
Golden Miles,Ethiopian,0.0,1.0,1.0,0.0,1
Golden Miles,Filipina,0.08333333333333333,0.9166666666666666,3.6666666666666665,-1.0,3
Golden Miles,French,0.16666666666666666,0.8333333333333334,1.6666666666666667,0.0,1
Golden Miles,German,0.08333333333333333,0.9166666666666666,3.6666666666666665,-1.0,3
